*1307704	1199
*5640	1140871310|1140911750|1141157412
*806626	1140888538
*68149	1140925978
*1511	1140888688
*8308	1140871138
*34318	1140888432
*1546277	1140877826
*308814	1140865654
*631657	1140883066
*8604	1140888432
*237116	1199
*9899	1140872198
*265323	1140925978
*4816	1140874744
*11248	1140870570|1140871024
*258494	1141171100
*5764	1140866078
*321988	1141180212
*221109	1140883066
*1358977	1141200108
*25025	1140868550
*10814	1140884512
*8591	1140888432
*4845	1141188442
*10324	1140870164
*8718	1140883476
*136411	1141168936
*89903	1140888432
*215976	1140865872
*2020	1140874866
*4453	1140871542
*867315	1199
*283579	1199
*3443	1140879806
*91472	1140909674
*8787	1140879842
*38377	1140871542
*12062	1140870956
*38260	1140868482
*2590	1140888074
*34316	1140888432
*4511	1140870306|1140870422|1141173342
*125933	1141200108
*140587	1141176662
*797752	1140910498
*486456	1141173342
*41126	1140888098
*2551	1140874138
*10800	1140868120
*1605101	1140883066
*704	1140879616
*139825	1140883066
*4493	1140879540
*703	1140888502
*1373038	1199
*29046	1140860696
*7258	1140871462
*33094	1140865414|1140910698
*91473	1140909674
*235496	1140877826
*105669	1140888386
*37855	1140868532
*1596	1140865786
*21212	1140873634
*7646	1140865634
*1370435	1199
*3407	2038459814
*8745	1140882082
*283742	1141177526
*33738	1141171646
*259342	1199
*5781	1140871336
*47622	1140870788
*77492	1140926934
*400008	1140883066
*259276	1199
*10582	1141191044
*283810	1141179914
*17627	1140879424
*689	1140862260
*119565	1141162764
*10829	1140873966
*1232405	1199
*314683	1140883066
*896135	1199
*10368	1140879792
*27169	1141166294
*60207	1140922714
*30125	1141163114
*10395	1140873450
*6459	1140909674
*236665	1199
*4452	1140884672
*644	1140888512
*236778	1141171496
*1318915	1140888432
*314686	1140883066
*11423	1140888538
*49276	1140879778
*1808	1140866280
*746070	1140867490
*93108	1140883066
*1309458	1199
*486895	1141145812
*1752	1140853200
*108118	1140888172|1140888176
*1309221	1140911680
*90613	1141200708
*8703	1140861954
*611	1140868226
*32937	1140867888
*23088	1140884464
*51428	1140883066
*6404	1140911730
*3640	1140873394
*17300	1140879774
*36117	1140862144|1141157264
*2599	1140871986|1140883468
*10122	1141200708
*6468	1140879464
*42954	1140909874
*301542	1141192410
*38404	1140923484
*1356135	1197|1140911680|1140916682
*54552	1140888560
*17128	1140864752
*34300	1140888432
*121047	1141164086
*20610	1140883504|1141187230
*114979	1141168584
*8183	2038460076
*105655	1140870390
*77655	1141180314
*40790	1140929012
*1307749	1199
*7418	1140871542
*1306095	1197|1140911680|1140916682
*104129	1140865752|1141157494
*11476	1141180314
*620	1140879644
*6513	1140873474
*10355	1140863202
*54993	1140888432
*7804	1141171038
*300195	1141179764
*37798	1140879798
*6915	1140879494
*9641	1140883748|1140911682
*214606	1140910498
*72965	1141145896
*35208	1140860728
*58300	1140888538
*2400	1140883520
*477468	1140871692
*28817	1140867490
*20498	1140879762
*1437983	1140875990|1141157458
*1427073	1140888438
*47613	1140870788
*36709	1140877826
*3322	1140863152
*4099	1140868406
*7984	1140888758
*54987	1140888432
*10691	1140861832
*253210	1140888538
*253166	1140868406
*6574	1140865872|1140881320
*2556	1140921600
*117466	1141179764
*1998	1140860750
*9884	1140910814
*42781	1140871138
*36676	1140877826
*356887	1141184748
*73891	1197|1140911680|1140916682
*1514	1140874790
*618365	1140868406
*8356	1140871666
