Source node	Source node type	Target node	Target node type	Edge name
K739	Disease	D696	Disease	Causes onset
K739	Disease	D649	Disease	Causes onset
K739	Disease	K559	Disease	Causes onset
K739	Disease	K85	Disease	Causes onset
K739	Disease	D58	Disease	Causes onset
K739	Disease	L43	Disease	Causes onset
K739	Disease	N08	Disease	Causes onset
K739	Disease	K810	Disease	Causes onset
K739	Disease	B349	Disease	Causes onset
K739	Disease	K7460	Disease	Causes onset
K739	Disease	E08	Disease	Causes onset
K739	Disease	E09	Disease	Causes onset
K739	Disease	E12	Disease	Causes onset
K739	Disease	K7291	Disease	Causes onset
K739	Disease	D891	Disease	Causes onset
K739	Disease	K7682	Disease	Causes onset
K739	Disease	K859	Disease	Causes onset
K739	Disease	I42	Disease	Causes onset
K739	Disease	K7469	Disease	Causes onset
K739	Disease	N032	Disease	Causes onset
K739	Disease	N04	Disease	Causes onset
K739	Disease	A6922	Disease	Causes onset
K739	Disease	I515	Disease	Causes onset
K739	Disease	I674	Disease	Causes onset
K739	Disease	E801	Disease	Causes onset
K739	Disease	I8501	Disease	Causes onset
K739	Disease	N10	Disease	Causes onset
K739	Disease	G610	Disease	Causes onset
K739	Disease	K821	Disease	Causes onset
K739	Disease	C801	Disease	Causes onset
K739	Disease	H16	Disease	Causes onset
K739	Disease	I8390	Disease	Causes onset
K739	Disease	D57	Disease	Causes onset
K739	Disease	D59	Disease	Causes onset
K739	Disease	M350	Disease	Causes onset
K739	Disease	T7840	Disease	Causes onset
K739	Disease	O4114	Disease	Causes onset
K739	Disease	D55	Disease	Causes onset
K739	Disease	D56	Disease	Causes onset
K739	Disease	D6181	Disease	Causes onset
K739	Disease	G587	Disease	Causes onset
K739	Disease	A812	Disease	Causes onset
K739	Disease	D761	Disease	Causes onset
K740	Disease	K766	Disease	Causes onset
K740	Disease	C220	Disease	Causes onset
G960	Disease	G03	Disease	Causes onset
A16	Disease	M793	Disease	Causes onset
A16	Disease	J984	Disease	Causes onset
A16	Disease	I313	Disease	Causes onset
A16	Disease	J86	Disease	Causes onset
A16	Disease	N19	Disease	Causes onset
A16	Disease	J948	Disease	Causes onset
A16	Disease	H309	Disease	Causes onset
A16	Disease	H46	Disease	Causes onset
A16	Disease	J80	Disease	Causes onset
A16	Disease	H209	Disease	Causes onset
A16	Disease	M541	Disease	Causes onset
A16	Disease	D86	Disease	Causes onset
A16	Disease	J47	Disease	Causes onset
A16	Disease	N12	Disease	Causes onset
A16	Disease	D649	Disease	Causes onset
A16	Disease	K315	Disease	Causes onset
A16	Disease	I10	Disease	Causes onset
A16	Disease	J386	Disease	Causes onset
A16	Disease	B44	Disease	Causes onset
A16	Disease	E271	Disease	Causes onset
A16	Disease	J931	Disease	Causes onset
A16	Disease	H16	Disease	Causes onset
A16	Disease	K766	Disease	Causes onset
A16	Disease	G510	Disease	Causes onset
A16	Disease	K130	Disease	Causes onset
A16	Disease	E162	Disease	Causes onset
A16	Disease	N3289	Disease	Causes onset
A16	Disease	K56609	Disease	Causes onset
A16	Disease	J960	Disease	Causes onset
A16	Disease	N08	Disease	Causes onset
A16	Disease	I314	Disease	Causes onset
A16	Disease	G932	Disease	Causes onset
A16	Disease	J9851	Disease	Causes onset
A16	Disease	D733	Disease	Causes onset
A16	Disease	G03	Disease	Causes onset
A16	Disease	N16	Disease	Causes onset
A16	Disease	M1990	Disease	Causes onset
A16	Disease	I72	Disease	Causes onset
A16	Disease	M706	Disease	Causes onset
A16	Disease	D696	Disease	Causes onset
A16	Disease	G560	Disease	Causes onset
A16	Disease	E8352	Disease	Causes onset
A16	Disease	E85	Disease	Causes onset
A16	Disease	I898	Disease	Causes onset
A16	Disease	I2781	Disease	Causes onset
A16	Disease	K833	Disease	Causes onset
A16	Disease	G822	Disease	Causes onset
A16	Disease	E272	Disease	Causes onset
A16	Disease	D761	Disease	Causes onset
A16	Disease	D7581	Disease	Causes onset
A16	Disease	J438	Disease	Causes onset
A16	Disease	D6181	Disease	Causes onset
A16	Disease	L03213	Disease	Causes onset
A16	Disease	N186	Disease	Causes onset
A16	Disease	K739	Disease	Causes onset
A16	Disease	E232	Disease	Causes onset
A16	Disease	M023	Disease	Causes onset
A16	Disease	I719	Disease	Causes onset
A16	Disease	E853	Disease	Causes onset
A16	Disease	H669	Disease	Causes onset
A16	Disease	N911	Disease	Causes onset
A16	Disease	D721	Disease	Causes onset
A16	Disease	H3481	Disease	Causes onset
A16	Disease	H3571	Disease	Causes onset
A16	Disease	J0510	Disease	Causes onset
A16	Disease	L04	Disease	Causes onset
A16	Disease	J9312	Disease	Causes onset
A16	Disease	K501	Disease	Causes onset
A16	Disease	I871	Disease	Causes onset
A16	Disease	H0520	Disease	Causes onset
A16	Disease	K311	Disease	Causes onset
A16	Disease	M779	Disease	Causes onset
A16	Disease	E230	Disease	Causes onset
A16	Disease	G825	Disease	Causes onset
A16	Disease	S128	Disease	Causes onset
A16	Disease	A6922	Disease	Causes onset
A16	Disease	Q430	Disease	Causes onset
A16	Disease	L603	Disease	Causes onset
A16	Disease	L401	Disease	Causes onset
A16	Disease	H332	Disease	Causes onset
A16	Disease	M431	Disease	Causes onset
H669	Disease	H709	Disease	Causes onset
H669	Disease	G03	Disease	Causes onset
H669	Disease	G001	Disease	Causes onset
H669	Disease	G00	Disease	Causes onset
H669	Disease	G510	Disease	Causes onset
H669	Disease	H905	Disease	Causes onset
H669	Disease	H830	Disease	Causes onset
H669	Disease	H60	Disease	Causes onset
H669	Disease	H819	Disease	Causes onset
H669	Disease	A35	Disease	Causes onset
H669	Disease	A6922	Disease	Causes onset
H709	Disease	G932	Disease	Causes onset
H709	Disease	J86	Disease	Causes onset
H709	Disease	G510	Disease	Causes onset
H709	Disease	I330	Disease	Causes onset
H709	Disease	I72	Disease	Causes onset
H709	Disease	M729	Disease	Causes onset
H709	Disease	A6922	Disease	Causes onset
E283	Disease	N911	Disease	Causes onset
E283	Disease	N912	Disease	Causes onset
E283	Disease	N460	Disease	Causes onset
E283	Disease	N910	Disease	Causes onset
E283	Disease	E300	Disease	Causes onset
B57	Disease	I420	Disease	Causes onset
B57	Disease	I42	Disease	Causes onset
B57	Disease	I509	Disease	Causes onset
B57	Disease	K5939	Disease	Causes onset
B57	Disease	K220	Disease	Causes onset
B57	Disease	I519	Disease	Causes onset
B57	Disease	I514	Disease	Causes onset
I420	Disease	I509	Disease	Causes onset
I420	Disease	I501	Disease	Causes onset
I420	Disease	I517	Disease	Causes onset
I420	Disease	J81	Disease	Causes onset
I420	Disease	Q233	Disease	Causes onset
I420	Disease	I5084	Disease	Causes onset
I420	Disease	G450	Disease	Causes onset
I420	Disease	I5081	Disease	Causes onset
I420	Disease	I502	Disease	Causes onset
I420	Disease	I898	Disease	Causes onset
E26	Disease	I15	Disease	Causes onset
E26	Disease	I10	Disease	Causes onset
E26	Disease	E876	Disease	Causes onset
E26	Disease	H401	Disease	Causes onset
E26	Disease	E11	Disease	Causes onset
E26	Disease	I339	Disease	Causes onset
E26	Disease	I6783	Disease	Causes onset
H351	Disease	H54	Disease	Causes onset
H351	Disease	H40	Disease	Causes onset
H351	Disease	H332	Disease	Causes onset
H351	Disease	H521	Disease	Causes onset
H351	Disease	H26	Disease	Causes onset
H54	Disease	H550	Disease	Causes onset
F101	Disease	K70	Disease	Causes onset
F101	Disease	E44	Disease	Causes onset
F101	Disease	K859	Disease	Causes onset
F101	Disease	E46	Disease	Causes onset
F101	Disease	G629	Disease	Causes onset
F101	Disease	K769	Disease	Causes onset
F101	Disease	K85	Disease	Causes onset
F101	Disease	I42	Disease	Causes onset
F101	Disease	E41	Disease	Causes onset
F101	Disease	E43	Disease	Causes onset
F101	Disease	K721	Disease	Causes onset
F101	Disease	E872	Disease	Causes onset
F101	Disease	K831	Disease	Causes onset
F101	Disease	D696	Disease	Causes onset
F101	Disease	N08	Disease	Causes onset
F101	Disease	I515	Disease	Causes onset
F101	Disease	K294	Disease	Causes onset
F101	Disease	I443	Disease	Causes onset
F101	Disease	K7460	Disease	Causes onset
F101	Disease	E40	Disease	Causes onset
F101	Disease	E42	Disease	Causes onset
F101	Disease	E45	Disease	Causes onset
F101	Disease	H905	Disease	Causes onset
F101	Disease	K8681	Disease	Causes onset
