Source node	Source node type	Target node	Target node type	Edge name
I251	Disease	I20	Disease	Causes onset
I251	Disease	I21	Disease	Causes onset
I251	Disease	I519	Disease	Causes onset
I251	Disease	I42	Disease	Causes onset
I251	Disease	I4901	Disease	Causes onset
I21	Disease	I46	Disease	Causes onset
I21	Disease	I472	Disease	Causes onset
I21	Disease	I519	Disease	Causes onset
I21	Disease	I509	Disease	Causes onset
I21	Disease	I517	Disease	Causes onset
I21	Disease	I514	Disease	Causes onset
I21	Disease	J81	Disease	Causes onset
I21	Disease	I679	Disease	Causes onset
I21	Disease	I253	Disease	Causes onset
I21	Disease	I255	Disease	Causes onset
I21	Disease	N179	Disease	Causes onset
I21	Disease	J960	Disease	Causes onset
I21	Disease	I443	Disease	Causes onset
I21	Disease	I72	Disease	Causes onset
I21	Disease	I70	Disease	Causes onset
I21	Disease	F431	Disease	Causes onset
I21	Disease	Q210	Disease	Causes onset
I21	Disease	I4901	Disease	Causes onset
I21	Disease	I5081	Disease	Causes onset
I21	Disease	J810	Disease	Causes onset
I21	Disease	I502	Disease	Causes onset
I21	Disease	Q233	Disease	Causes onset
I21	Disease	I4902	Disease	Causes onset
I21	Disease	P916	Disease	Causes onset
I21	Disease	I2720	Disease	Causes onset
M310	Disease	N08	Disease	Causes onset
M310	Disease	N179	Disease	Causes onset
M310	Disease	N19	Disease	Causes onset
M310	Disease	N186	Disease	Causes onset
M310	Disease	I6783	Disease	Causes onset
M310	Disease	N01	Disease	Causes onset
M310	Disease	E049	Disease	Causes onset
M310	Disease	G932	Disease	Causes onset
M310	Disease	J960	Disease	Causes onset
M310	Disease	E85	Disease	Causes onset
N08	Disease	E213	Disease	Causes onset
N08	Disease	N189	Disease	Causes onset
N08	Disease	N19	Disease	Causes onset
N08	Disease	I15	Disease	Causes onset
N08	Disease	N18	Disease	Causes onset
N08	Disease	N04	Disease	Causes onset
N08	Disease	R80	Disease	Causes onset
N08	Disease	D649	Disease	Causes onset
N08	Disease	N289	Disease	Causes onset
N08	Disease	H3503	Disease	Causes onset
K703	Disease	K766	Disease	Causes onset
K703	Disease	K721	Disease	Causes onset
K703	Disease	D696	Disease	Causes onset
K703	Disease	E46	Disease	Causes onset
K703	Disease	K769	Disease	Causes onset
K703	Disease	I8501	Disease	Causes onset
K703	Disease	K7682	Disease	Causes onset
K703	Disease	E8311	Disease	Causes onset
K703	Disease	E44	Disease	Causes onset
K703	Disease	I864	Disease	Causes onset
K703	Disease	E40	Disease	Causes onset
K703	Disease	E41	Disease	Causes onset
K703	Disease	E42	Disease	Causes onset
K703	Disease	E43	Disease	Causes onset
K703	Disease	E45	Disease	Causes onset
K703	Disease	I8390	Disease	Causes onset
K703	Disease	D891	Disease	Causes onset
K766	Disease	I864	Disease	Causes onset
K766	Disease	D696	Disease	Causes onset
K766	Disease	K920	Disease	Causes onset
K766	Disease	D649	Disease	Causes onset
K766	Disease	I861	Disease	Causes onset
K766	Disease	D731	Disease	Causes onset
K766	Disease	D735	Disease	Causes onset
K766	Disease	I8501	Disease	Causes onset
K766	Disease	I878	Disease	Causes onset
K766	Disease	D6181	Disease	Causes onset
K766	Disease	I729	Disease	Causes onset
K766	Disease	I2720	Disease	Causes onset
F500	Disease	E43	Disease	Causes onset
F500	Disease	E46	Disease	Causes onset
F500	Disease	E40	Disease	Causes onset
F500	Disease	E41	Disease	Causes onset
F500	Disease	E42	Disease	Causes onset
F500	Disease	E44	Disease	Causes onset
F500	Disease	E45	Disease	Causes onset
F500	Disease	D70	Disease	Causes onset
F500	Disease	K219	Disease	Causes onset
F500	Disease	E832	Disease	Causes onset
F500	Disease	M810	Disease	Causes onset
F500	Disease	G729	Disease	Causes onset
F500	Disease	E51	Disease	Causes onset
E43	Disease	H54	Disease	Causes onset
E43	Disease	L89	Disease	Causes onset
E43	Disease	D649	Disease	Causes onset
E43	Disease	D50	Disease	Causes onset
E43	Disease	N189	Disease	Causes onset
E43	Disease	E50	Disease	Causes onset
E43	Disease	E538	Disease	Causes onset
E43	Disease	D6181	Disease	Causes onset
E43	Disease	E162	Disease	Causes onset
E43	Disease	J984	Disease	Causes onset
E43	Disease	I519	Disease	Causes onset
E43	Disease	R413	Disease	Causes onset
E43	Disease	K0510	Disease	Causes onset
E43	Disease	K769	Disease	Causes onset
E43	Disease	N62	Disease	Causes onset
E43	Disease	E512	Disease	Causes onset
E43	Disease	E550	Disease	Causes onset
E43	Disease	E8881	Disease	Causes onset
E43	Disease	G629	Disease	Causes onset
E43	Disease	A18	Disease	Causes onset
E43	Disease	E15	Disease	Causes onset
E43	Disease	H461	Disease	Causes onset
E43	Disease	E51	Disease	Causes onset
E43	Disease	M899	Disease	Causes onset
E43	Disease	A6922	Disease	Causes onset
G932	Disease	H471	Disease	Causes onset
G932	Disease	H54	Disease	Causes onset
G932	Disease	G629	Disease	Causes onset
G932	Disease	G830	Disease	Causes onset
G932	Disease	H5313	Disease	Causes onset
G932	Disease	H500	Disease	Causes onset
G932	Disease	H93A	Disease	Causes onset
G932	Disease	G500	Disease	Causes onset
H471	Disease	H54	Disease	Causes onset
I061	Disease	Q233	Disease	Causes onset
I061	Disease	I509	Disease	Causes onset
I061	Disease	I20	Disease	Causes onset
I061	Disease	I209	Disease	Causes onset
I061	Disease	N04	Disease	Causes onset
I061	Disease	Q204	Disease	Causes onset
Q233	Disease	J81	Disease	Causes onset
Q233	Disease	I509	Disease	Causes onset
Q233	Disease	I42	Disease	Causes onset
Q233	Disease	I2720	Disease	Causes onset
M313	Disease	N01	Disease	Causes onset
M313	Disease	N19	Disease	Causes onset
M313	Disease	J960	Disease	Causes onset
M313	Disease	N08	Disease	Causes onset
M313	Disease	H150	Disease	Causes onset
M313	Disease	K859	Disease	Causes onset
M313	Disease	G629	Disease	Causes onset
M313	Disease	H669	Disease	Causes onset
M313	Disease	H16	Disease	Causes onset
M313	Disease	E232	Disease	Causes onset
M313	Disease	N186	Disease	Causes onset
M313	Disease	J47	Disease	Causes onset
M313	Disease	I21	Disease	Causes onset
M313	Disease	I72	Disease	Causes onset
M313	Disease	G510	Disease	Causes onset
M313	Disease	N950	Disease	Causes onset
M313	Disease	G932	Disease	Causes onset
M313	Disease	I443	Disease	Causes onset
M313	Disease	G031	Disease	Causes onset
M313	Disease	J931	Disease	Causes onset
M313	Disease	E230	Disease	Causes onset
N01	Disease	N19	Disease	Causes onset
N01	Disease	N186	Disease	Causes onset
I46	Disease	F419	Disease	Causes onset
I46	Disease	G939	Disease	Causes onset
I46	Disease	P916	Disease	Causes onset
I46	Disease	G9382	Disease	Causes onset
E11	Disease	E162	Disease	Causes onset
E11	Disease	N189	Disease	Causes onset
E11	Disease	G30	Disease	Causes onset
E11	Disease	N08	Disease	Causes onset
E11	Disease	I515	Disease	Causes onset
E11	Disease	I10	Disease	Causes onset
E11	Disease	G629	Disease	Causes onset
E11	Disease	M146	Disease	Causes onset
E11	Disease	D649	Disease	Causes onset
E11	Disease	I70	Disease	Causes onset
E11	Disease	I679	Disease	Causes onset
E11	Disease	I519	Disease	Causes onset
E11	Disease	E785	Disease	Causes onset
E11	Disease	H54	Disease	Causes onset
E11	Disease	K769	Disease	Causes onset
E11	Disease	H492	Disease	Causes onset
E11	Disease	N19	Disease	Causes onset
E11	Disease	E161	Disease	Causes onset
E11	Disease	E889	Disease	Causes onset
E11	Disease	N289	Disease	Causes onset
E11	Disease	H26	Disease	Causes onset
E11	Disease	I42	Disease	Causes onset
E11	Disease	R739	Disease	Causes onset
E11	Disease	H44	Disease	Causes onset
E11	Disease	R80	Disease	Causes onset
E11	Disease	R73	Disease	Causes onset
E11	Disease	M899	Disease	Causes onset
E11	Disease	H359	Disease	Causes onset
E11	Disease	I729	Disease	Causes onset
E11	Disease	N179	Disease	Causes onset
E11	Disease	E169	Disease	Causes onset
E11	Disease	E875	Disease	Causes onset
E11	Disease	E87	Disease	Causes onset
E11	Disease	I256	Disease	Causes onset
E11	Disease	M810	Disease	Causes onset
E11	Disease	F01	Disease	Causes onset
E11	Disease	E872	Disease	Causes onset
E11	Disease	E78	Disease	Causes onset
E11	Disease	I509	Disease	Causes onset
E11	Disease	E86	Disease	Causes onset
E11	Disease	E55	Disease	Causes onset
E11	Disease	E83	Disease	Causes onset
E11	Disease	I517	Disease	Causes onset
E11	Disease	E88	Disease	Causes onset
E11	Disease	E85	Disease	Causes onset
E11	Disease	G939	Disease	Causes onset
E11	Disease	K740	Disease	Causes onset
E11	Disease	H40	Disease	Causes onset
E11	Disease	D735	Disease	Causes onset
E11	Disease	E72	Disease	Causes onset
E11	Disease	H211	Disease	Causes onset
E11	Disease	E70	Disease	Causes onset
E11	Disease	M1990	Disease	Causes onset
E11	Disease	E80	Disease	Causes onset
E11	Disease	E79	Disease	Causes onset
E11	Disease	C189	Disease	Causes onset
E11	Disease	S121	Disease	Causes onset
E11	Disease	K929	Disease	Causes onset
E11	Disease	I200	Disease	Causes onset
E11	Disease	A18	Disease	Causes onset
E11	Disease	F44	Disease	Causes onset
E11	Disease	H332	Disease	Causes onset
E11	Disease	E74	Disease	Causes onset
E11	Disease	N46	Disease	Causes onset
E11	Disease	E76	Disease	Causes onset
E11	Disease	E71	Disease	Causes onset
E11	Disease	N186	Disease	Causes onset
E11	Disease	R7303	Disease	Causes onset
E11	Disease	I2510	Disease	Causes onset
E11	Disease	K3184	Disease	Causes onset
E11	Disease	T7840	Disease	Causes onset
E11	Disease	E8881	Disease	Causes onset
E11	Disease	C801	Disease	Causes onset
E11	Disease	E73	Disease	Causes onset
E11	Disease	F419	Disease	Causes onset
E11	Disease	E75	Disease	Causes onset
E11	Disease	I514	Disease	Causes onset
E11	Disease	L259	Disease	Causes onset
E11	Disease	L659	Disease	Causes onset
E11	Disease	E51	Disease	Causes onset
E11	Disease	E77	Disease	Causes onset
E11	Disease	Q249	Disease	Causes onset
E11	Disease	E530	Disease	Causes onset
E11	Disease	F529	Disease	Causes onset
E11	Disease	O40	Disease	Causes onset
E11	Disease	E81	Disease	Causes onset
E11	Disease	E82	Disease	Causes onset
E11	Disease	A6922	Disease	Causes onset
E11	Disease	H0259	Disease	Causes onset
E11	Disease	H3581	Disease	Causes onset
E11	Disease	I675	Disease	Causes onset
E11	Disease	O14	Disease	Causes onset
E11	Disease	B450	Disease	Causes onset
E162	Disease	I46	Disease	Causes onset
E162	Disease	G629	Disease	Causes onset
E162	Disease	I21	Disease	Causes onset
E162	Disease	K46	Disease	Causes onset
E162	Disease	K42	Disease	Causes onset
E162	Disease	K45	Disease	Causes onset
E162	Disease	K43	Disease	Causes onset
E162	Disease	I256	Disease	Causes onset
E162	Disease	J810	Disease	Causes onset
E162	Disease	I5181	Disease	Causes onset
E162	Disease	K41	Disease	Causes onset
E162	Disease	K40	Disease	Causes onset
E162	Disease	G9382	Disease	Causes onset
I864	Disease	G932	Disease	Causes onset
F50	Disease	E43	Disease	Causes onset
F50	Disease	E46	Disease	Causes onset
F50	Disease	E40	Disease	Causes onset
F50	Disease	E41	Disease	Causes onset
F50	Disease	E42	Disease	Causes onset
F50	Disease	E44	Disease	Causes onset
F50	Disease	E45	Disease	Causes onset
F50	Disease	E50	Disease	Causes onset
F50	Disease	E889	Disease	Causes onset
B20	Disease	H309	Disease	Causes onset
B20	Disease	K561	Disease	Causes onset
B20	Disease	L89	Disease	Causes onset
B20	Disease	B349	Disease	Causes onset
B20	Disease	B457	Disease	Causes onset
B20	Disease	J960	Disease	Causes onset
B20	Disease	E059	Disease	Causes onset
H309	Disease	H54	Disease	Causes onset
E550	Disease	M2106	Disease	Causes onset
E550	Disease	I420	Disease	Causes onset
E550	Disease	Q750	Disease	Causes onset
E550	Disease	E8351	Disease	Causes onset
A17	Disease	G03	Disease	Causes onset
A17	Disease	D86	Disease	Causes onset
A17	Disease	M541	Disease	Causes onset
A17	Disease	I10	Disease	Causes onset
A17	Disease	D696	Disease	Causes onset
A17	Disease	N3289	Disease	Causes onset
A17	Disease	M1990	Disease	Causes onset
A17	Disease	J86	Disease	Causes onset
A17	Disease	K56609	Disease	Causes onset
A17	Disease	J960	Disease	Causes onset
A17	Disease	N08	Disease	Causes onset
A17	Disease	J80	Disease	Causes onset
A17	Disease	J984	Disease	Causes onset
A17	Disease	I314	Disease	Causes onset
A17	Disease	G932	Disease	Causes onset
A17	Disease	K315	Disease	Causes onset
A17	Disease	G510	Disease	Causes onset
A17	Disease	J948	Disease	Causes onset
A17	Disease	G822	Disease	Causes onset
A17	Disease	J9851	Disease	Causes onset
A17	Disease	M793	Disease	Causes onset
A17	Disease	N12	Disease	Causes onset
A17	Disease	D733	Disease	Causes onset
A17	Disease	N19	Disease	Causes onset
A17	Disease	I313	Disease	Causes onset
A17	Disease	E162	Disease	Causes onset
A17	Disease	H209	Disease	Causes onset
A17	Disease	G560	Disease	Causes onset
A17	Disease	D649	Disease	Causes onset
A17	Disease	E271	Disease	Causes onset
A17	Disease	E8352	Disease	Causes onset
A17	Disease	I72	Disease	Causes onset
A17	Disease	E85	Disease	Causes onset
A17	Disease	I898	Disease	Causes onset
A17	Disease	I2781	Disease	Causes onset
A17	Disease	H16	Disease	Causes onset
A17	Disease	K833	Disease	Causes onset
A17	Disease	E272	Disease	Causes onset
A17	Disease	K766	Disease	Causes onset
A17	Disease	D761	Disease	Causes onset
A17	Disease	D7581	Disease	Causes onset
A17	Disease	J438	Disease	Causes onset
A17	Disease	D6181	Disease	Causes onset
A17	Disease	L03213	Disease	Causes onset
A17	Disease	N186	Disease	Causes onset
A17	Disease	J386	Disease	Causes onset
A17	Disease	K739	Disease	Causes onset
A17	Disease	K130	Disease	Causes onset
A17	Disease	E232	Disease	Causes onset
A17	Disease	N16	Disease	Causes onset
A17	Disease	M023	Disease	Causes onset
A17	Disease	M706	Disease	Causes onset
A17	Disease	H309	Disease	Causes onset
A17	Disease	I719	Disease	Causes onset
A17	Disease	E853	Disease	Causes onset
A17	Disease	H669	Disease	Causes onset
A17	Disease	H46	Disease	Causes onset
A17	Disease	N911	Disease	Causes onset
A17	Disease	D721	Disease	Causes onset
A17	Disease	H3481	Disease	Causes onset
A17	Disease	H3571	Disease	Causes onset
A17	Disease	J931	Disease	Causes onset
A17	Disease	J0510	Disease	Causes onset
A17	Disease	J47	Disease	Causes onset
A17	Disease	J9312	Disease	Causes onset
A17	Disease	I871	Disease	Causes onset
A17	Disease	B44	Disease	Causes onset
A17	Disease	H0520	Disease	Causes onset
A17	Disease	K311	Disease	Causes onset
A17	Disease	M779	Disease	Causes onset
A17	Disease	E230	Disease	Causes onset
A17	Disease	G825	Disease	Causes onset
A17	Disease	S128	Disease	Causes onset
A17	Disease	K501	Disease	Causes onset
A17	Disease	A6922	Disease	Causes onset
A17	Disease	H332	Disease	Causes onset
A17	Disease	M431	Disease	Causes onset
A17	Disease	Q430	Disease	Causes onset
A17	Disease	L603	Disease	Causes onset
A17	Disease	L04	Disease	Causes onset
A17	Disease	L401	Disease	Causes onset
G03	Disease	G91	Disease	Causes onset
G03	Disease	H471	Disease	Causes onset
G03	Disease	G950	Disease	Causes onset
G03	Disease	I42	Disease	Causes onset
G03	Disease	M545	Disease	Causes onset
G03	Disease	G910	Disease	Causes onset
G03	Disease	G959	Disease	Causes onset
G03	Disease	J86	Disease	Causes onset
G03	Disease	G40909	Disease	Causes onset
G03	Disease	H905	Disease	Causes onset
G03	Disease	I679	Disease	Causes onset
G03	Disease	G80	Disease	Causes onset
J80	Disease	J960	Disease	Causes onset
J80	Disease	J81	Disease	Causes onset
J80	Disease	I2720	Disease	Causes onset
J80	Disease	J8410	Disease	Causes onset
J960	Disease	I46	Disease	Causes onset
J960	Disease	G939	Disease	Causes onset
I10	Disease	N189	Disease	Causes onset
I10	Disease	I517	Disease	Causes onset
I10	Disease	I679	Disease	Causes onset
I10	Disease	I70	Disease	Causes onset
I10	Disease	I519	Disease	Causes onset
I10	Disease	N08	Disease	Causes onset
I10	Disease	I21	Disease	Causes onset
I10	Disease	N19	Disease	Causes onset
I10	Disease	I12	Disease	Causes onset
I10	Disease	I11	Disease	Causes onset
I10	Disease	I514	Disease	Causes onset
I10	Disease	I509	Disease	Causes onset
I10	Disease	I71	Disease	Causes onset
I10	Disease	G629	Disease	Causes onset
I10	Disease	H54	Disease	Causes onset
I10	Disease	I719	Disease	Causes onset
I10	Disease	G939	Disease	Causes onset
I10	Disease	D619	Disease	Causes onset
I10	Disease	N289	Disease	Causes onset
I10	Disease	I42	Disease	Causes onset
I10	Disease	J81	Disease	Causes onset
I10	Disease	R80	Disease	Causes onset
I10	Disease	I420	Disease	Causes onset
I10	Disease	M311	Disease	Causes onset
I10	Disease	I6783	Disease	Causes onset
I10	Disease	I5022	Disease	Causes onset
I10	Disease	I5030	Disease	Causes onset
I10	Disease	T783	Disease	Causes onset
I10	Disease	H931	Disease	Causes onset
I10	Disease	O15	Disease	Causes onset
I10	Disease	H3502	Disease	Causes onset
I10	Disease	J9811	Disease	Causes onset
I10	Disease	I5081	Disease	Causes onset
I10	Disease	I6782	Disease	Causes onset
I10	Disease	I2510	Disease	Causes onset
I10	Disease	A240	Disease	Causes onset
N189	Disease	D649	Disease	Causes onset
N189	Disease	N19	Disease	Causes onset
N189	Disease	E212	Disease	Causes onset
N189	Disease	I674	Disease	Causes onset
N189	Disease	N289	Disease	Causes onset
N189	Disease	G629	Disease	Causes onset
N189	Disease	R80	Disease	Causes onset
N189	Disease	M899	Disease	Causes onset
K745	Disease	K721	Disease	Causes onset
K745	Disease	C220	Disease	Causes onset
K745	Disease	K831	Disease	Causes onset
K745	Disease	K766	Disease	Causes onset
K745	Disease	G939	Disease	Causes onset
K721	Disease	J80	Disease	Causes onset
K721	Disease	K766	Disease	Causes onset
K823	Disease	K563	Disease	Causes onset
K563	Disease	K25	Disease	Causes onset
A481	Disease	J80	Disease	Causes onset
A481	Disease	J86	Disease	Causes onset
A481	Disease	J960	Disease	Causes onset
A481	Disease	N19	Disease	Causes onset
A481	Disease	J17	Disease	Causes onset
A481	Disease	L0390	Disease	Causes onset
A481	Disease	J159	Disease	Causes onset
A481	Disease	J852	Disease	Causes onset
A481	Disease	M00	Disease	Causes onset
A481	Disease	J18	Disease	Causes onset
A481	Disease	I42	Disease	Causes onset
A481	Disease	J13	Disease	Causes onset
A481	Disease	J15	Disease	Causes onset
A481	Disease	J679	Disease	Causes onset
A481	Disease	I339	Disease	Causes onset
A481	Disease	J01	Disease	Causes onset
A481	Disease	N171	Disease	Causes onset
A481	Disease	J10	Disease	Causes onset
A481	Disease	J12	Disease	Causes onset
A481	Disease	K85	Disease	Causes onset
A481	Disease	M1990	Disease	Causes onset
A481	Disease	J42	Disease	Causes onset
A481	Disease	J09	Disease	Causes onset
A481	Disease	J11	Disease	Causes onset
A481	Disease	J14	Disease	Causes onset
A481	Disease	J16	Disease	Causes onset
A481	Disease	I514	Disease	Causes onset
A481	Disease	G629	Disease	Causes onset
G80	Disease	M414	Disease	Causes onset
G80	Disease	G24	Disease	Causes onset
G80	Disease	M419	Disease	Causes onset
G80	Disease	G825	Disease	Causes onset
G80	Disease	M810	Disease	Causes onset
K739	Disease	K740	Disease	Causes onset
K739	Disease	C220	Disease	Causes onset
K739	Disease	K721	Disease	Causes onset
K739	Disease	C229	Disease	Causes onset
K739	Disease	E10	Disease	Causes onset
K739	Disease	K769	Disease	Causes onset
K739	Disease	K766	Disease	Causes onset
K739	Disease	E11	Disease	Causes onset
K739	Disease	E13	Disease	Causes onset
K739	Disease	G629	Disease	Causes onset
K739	Disease	K81	Disease	Causes onset
K739	Disease	K831	Disease	Causes onset
